,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
30,Green's Cafe Balige,4.8,3326.0,"Jl. Gereja No.32, Lumban dolok, Kec. Balige, Toba, Sumatera Utara 22315, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJr6rqxlwELjARQ4lqJApmbQc,https://lh3.googleusercontent.com/p/AF1QipOCYfbSYtkCKV0hGy_i5ZbRqW_XZvT14M5kfaPW=w137-h92-k-no,Wisata Kuliner
31,ALUN ALUN,4.2,367.0,"Jl. Karya Wisata No.26, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara 20143, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJAc3E9ao6MTARAeftvc5CUQQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHfKyIITYrk8TRWMiFpqGZDY16bTSRTeMTF8eI8E38ynEB-A4TOtAsbh1bZt5FvyQzUItIxhi8pIzSMqDjjX6_vSHRCgrDiJDAF-k1UZDy9U9EUrDxDSfEFuHCnuZxsaVl3p4=w80-h106-k-no,Wisata Kuliner
32,Kuliner Teh Pipih,4.6,144.0,"Jl. Eka Rasmi komplek Bumi Johor No.A8, Sentosa, Kec. Medan Johor, Kota Medan, Sumatera Utara 20334, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJG7Eo5NY6MTARUpM5HyreeEM,https://lh3.googleusercontent.com/p/AF1QipOKQVvp-RR6duHYzRad0pGXNPWpsgmOwwYdlf-p=w92-h92-k-no,Wisata Kuliner
33,RM. Beringin Indah 2,4.4,2095.0,"Jl. Ke Medan No.KM 4,5, Naga Pita., Kec. Siantar Martoba, Kota Pematang Siantar, Sumatera Utara 21137, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJxwa6BvODMTAR5hXQjhF2vJQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npF5KjHMHw7LiDXpnx_7oWCgvfNmOPgoe3DVtbW-Zbw1z6i4O_KdYHTC48HX3pf3eIAg1OJJAer_DmEVxmyINoBqb1lNjgX7kxNQAw6rb9_wRU3Kuns8hFN7_ZiJ0553QMSbv0=w163-h92-k-no,Wisata Kuliner
34,KAMPUNG NUSANTARA,4.0,43.0,"HMJ5+894, Aek Kanopan Tim., Kec. Kualuh Hulu, Kabupaten Labuhanbatu Utara, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJY18Ac85xMjARZYefPtzPz1I,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npSvqD0LbAhHvgEYNE-5E-SteVMv2845PzW21pWh17v9lOMzbyCjJGk547tOu9hFWxbYKpG8MseDnpuAL-OV8y1LTF88wLY_vYMIcl8i17h1VvEdfXS_6rGplT7GxbjS-u-hXBORw=w163-h92-k-no,Wisata Kuliner
35,Warung Wajik Peceren H Ngadimin,4.5,229.0,"Jalan Jamin Ginting Desa No.38, Jl. Jamin Ginting Desa No.38, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ7ecy49IDMTARcUfPCgFr7O4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEx1CTSNDJUAyONepnJBCpNWZvdAdcMiPC4_-N_fNM8iiGRdnHyoTZLYkRb1zrqpzZcOZTcjWcM4T3MBVmJRjk9AVRTWtbtzOHEPGwjn2D6bYcO9gJl9jGkeUxHTo02EJKc40=w163-h92-k-no,Wisata Kuliner
36,Waroeng Balek Kampoeng,4.4,178.0,"Gg. Makmur, Sumber Mulyorejo, Kec. Binjai Utara, Kota Binjai, Sumatera Utara 20351, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJWSyTFnApMTARKYPOKo9bx6Q,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRZNy7OOxxOez6MDAIiCxCnNyOoaI5qKXGWMJJKPPwqcSq4S5Kyx2gV0DHYCHhuwZ59vxpgdiCRjCSkNUXHgOvMs6ANmwkitQD29GXUzPajFSeqAvc3Ul4kAgehjVKoIaLWooxPA=w163-h92-k-no,Wisata Kuliner
37,Pondok Surya,4.1,1537.0,"Jl. Ade Irma Suryani Gang Anggrek No. 6, Pekan Binjai, Binjai Kota, Pekan Binjai, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20748, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJOaBUL_spMTARmSIO5l69fHg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYxu-_anUGL6U2irfHQMog1sci0enoLxfkHRJ2h7lrZggh-IiD5H3-Mhx1MSILeAZUdMBdHH9Fp38uqVmAIDuigiw5_OxrCw98DJrLnKg4Y3csrJY79jg3-8h_wzoHRfzTA3M=w122-h92-k-no,Wisata Kuliner
38,Lontong Kak Lin,4.1,2144.0,"Jl. Teuku Cik Ditiro No.8m, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJnShMxdIxMTARRkwrst2CcAk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogq7b5dZ04daDFWAwizenfb7wTqNAbXV36KJ2mBarmbeoPpY45nLp4P6X8_WlADtxBiPZ5KLpy3zutiwlhuCAtEA3u48JKz4DN8GyF5rvCV9p9sIiEg7AQKyTUK6Aek5aDYp2G=w122-h92-k-no,Wisata Kuliner
39,KWETIAU ALUANG BRAHRANG,4.7,236.0,"JC4X+Q94, Jln Myjend Sutoyo Gang Bali Raya komplek bali Mansion/ Nio Florist Brahrang, Suka Maju, Kec. Binjai Bar., Kota Binjai, Sumatera Utara 20719, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJqf7SYlrXMDARlxDJ_EulM38,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocz5BeH2fhZlOH_OUgdYQ67QsTRdVpxASg8c03vG6bWsyFprQ61FgFqNiqykV1tfn7z3IMaqDJfxJggnhIGIpxrmOxBBAT2ls8bj1_-r-GBo7zsshNC-3HyiKJPrRbWKnwYaI2=w80-h142-k-no,Wisata Kuliner
40,RM. Beringin Indah 1,4.4,1935.0,"Jl. Medan Km. 10 No. 12, Sinaksak, Tapian Dolo, Dolok Ulu, Kec. Tapian Dolok, Kota Pematang Siantar, Sumatera Utara 21143, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJL_Nl4XKEMTARwGPQGG9x6ck,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWOai6bTw94Ppg55v7PHeXhCmMnEs7FvSi0H1u_bs7_CVoMslXKWfcKtiRU78LRnUQ2v0MbJeh2QsSkW7PNI8m83Wz-p_t_KXYKqINlFx175NepLFpKJd2wmCI8iY8zM3reLHm=w122-h92-k-no,Wisata Kuliner
41,Waroeng Waswas,4.2,426.0,"Jl. RA. Kartini, Kartini, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20713, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJm1Jx-98pMTARPm8Gji__Ahk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDLSyhnrHg6IHJ0SMrQKcpgVKiHjYUo20uE0GG_KkdeC6J1_ONSuz-aMpzxKeJOlZOvjAxKG3GkNULTcyCoHhFAHEC95lnO5Iv49nNuCgsNcCb52ZkjuWWr_oanXQty82HXWUB=w122-h92-k-no,Wisata Kuliner
