,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
30,Pertunjukan Tari Sigalegale,4.5,3185,"MV26+P89, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZXlZeZPpMTARVXsbUHFqV0I,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj6G4RY3rcBr_wmfvCzNnxd5HoHUigWad7XO1ZGpw2t8wkIzeVmpTYvlJLv4wsNppewRYdSdzmt2B_-uMo8c_lqkv5gkvfNpE_a8HEDgSzUbpQibzu_JC78uLTgiFNFKKt5Dg=w122-h92-k-no,Wisata Belanja
31,Kota Sejarah,3.6,17,"Jl. Lintas Sumatra No.15, Perbaungan, Kec. Bilah Hulu, Kab. Labuhanbatu, Sumatera Utara 21451, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJtfWF1LYLLTAR8iTncLv6boU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npc98mur87VuTRuuGeJt05cmAbptlNPFam5zeQ1kl2z_Y-TZQApF7sVC65M7cwefqRhtcCZSP3b7Xd8tfYAa_NxKRAjZe7vc-jmXxMWTLlc-c49yWInspENOYORmDFFoV873aNT=w122-h92-k-no,Wisata Belanja
32,Pajak Gotong Royong,4.1,171,"G4VJ+JR5, Bukit Lawang, Bohorok, Langkat Regency, North Sumatra 20852, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJL6yeRwC4MDARTPskSGxsqmA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFpIeP0lza5PihVEe-78YPLWXe99tdoyiwbDOFiykmPQvMqr82PukT1T1YEomeJXRRq3A0HhkGFdIs8Qcg3KVwkMKgQpCGRZlb3L41PoT9rMkYGi_06SvGuJBUynY2_h0suhRsPw=w163-h92-k-no,Wisata Belanja
33,Suzuya Mall Rantau Prapat,4.3,2118,"Jl. SM. Raja, Bakaran Batu, Kec. Rantau Sel., Kab. Labuhanbatu, Sumatera Utara 21418, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJP00i1K2hLTARCcUBs2Ax5yo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nopil3GqKNTgiK1uzulld80qDdncRWweT9824Nv88wAY35rfoHiRh6R9rGSF_57MIrRe0ExlJRpkWQS5VeiOGrhbNZDvAIoR2SnGIDBv93Loc3zv6oyc78mU4dVBr9mLxwwRH5A=w163-h92-k-no,Wisata Belanja
34,Pos Bloc Medan,4.6,1405,"Posbloc Medan, Kesawan, Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJQYxHrfsxMTARrnQL5fqgWpo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1S2YNeWljDqtK4ZSbhXM9P8qVlrsSPvuaH7yo41tqQ4Ru7QjROUsS0XOccItIS5sALtaLrBMTsKnceXkMux5RA9sr3cc-P9T7tVQfRPmL-Bd8N_ifLQNBuihbQZobvkLvACweYg=w110-h92-k-no,Wisata Belanja
35,Gunung Sibayak,4.7,839,"6GQ3+CWV, Gunung Sibayak, Jaranguda, Kec. Merdeka, Kabupaten Karo, Sumatera Utara 20354, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJTZP1wEAdMTAR4nfujZWhe5Q,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1gjTUHL8UWqTURJy9kXS2hnRs70nGziyfbtGekyvgTucTOYZ5Dfhq5w4pwdFmtXsmesJrg2yy0S3AhIfhwZ5a2Wn_0c0KtJyUXq05jLY3xp0f5at6RdefGzjA0dez2VohQoAM=w163-h92-k-no,Wisata Belanja
36,TAMAN WISATA DANAU SIOMBAK MARELAN,4.0,1309,"Jl. Ps. Nippon, Paya Pasir, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20252, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ935f953SNjARYn9Wo-1ZxvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHIUJMNB-oJW01NweBaF1PTWYU2uC5O0urynn9CRg7CBZVQrfEQurejpiruBCfORVuu0pnsKKvBWmKlMskKi3tjnzAMD33e5tRF_2UBtrTNwzWAqiRCYkFUaNRCVL-iStKcB3iPA=w163-h92-k-no,Wisata Belanja
37,Wisata Anugerah Indah Sippan,4.6,494,"Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJK91TWZStMTAR-fvbxdMazhg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYHdN10baA4PUhAPCmzfMPn8DGl-QuRwe_G8HTul2A4JOaloHYn9eE8xfcr3wMdWDeVw4yKP7TUjSYxVY_eHcXxMr49UvQ0m891-cwml4hRfGgFGcjbhxIn-sWafGiBh5Twdc3=w122-h92-k-no,Wisata Belanja
38,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),4.5,1339,"Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJC4Fw1gnqMTARsycDlYPcujo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQo6cL9qYRIIhWfUrSX8NFcUPrpixkE4BVsgg8ECK_xDwA7YroNTZgh67_Te8ZjAPEP3_cKT-yIBdGYJgMrtbUEXB7W9wW8l8ELG1LG2iB7KIcdjur8XIQSw0PJ7Vn4Cdk3VE=w120-h92-k-no,Wisata Belanja
39,Istana Kaldera Unesco Geopark Danau Toba,4.7,37,"82V9+WM4, Tara Bunga, Kec. Tampahan, Toba, Sumatera Utara 22312, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJl_MozO0FLjAR6c0-RMmnYlI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6oPllg2xtzLugt0k3BD41tZuzssNa_DppKskI-asQpCWsZV11_gveyX0LL7cO49oSKtuotrxBviYcgJ9dZPzLPMtNDvERIcLE459sguHbC3zf2LMlCAjdCTfbOXJ2m1EBtwfP=w122-h92-k-no,Wisata Belanja
