,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
30,Pemandian Alam Gantang Rani,4.3,394,"Rumah Sumbul, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJAQ9B6d4YMTARZlPMy4DvG_w,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqr5K_x40Mzig7mvjDTYYZK_jxKLPeU4VkTjt-eVdBUdV1VMsIxCj4bFpxXspsJg-T8zVG9_0UUwS_YO87AOw2BoKXTcvozhCWbJsp1uWNIcurbp01nLh34UB9s1fFyMCf3uk8y=w163-h92-k-no,Wisata Alam
31,Air Terjun Situmurun,4.6,553,"Jonggi Nihuta, Hatinggian, Kec. Lumban Julu, Toba, Sumatera Utara 22386, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ2Zgm8M3kMTARqSRUjlQ6gU4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeiRAL62BAaKVqHxFKI8zbNk4tioKqJuYL_bf_nBMJTlp4_zrhgu-T2uag99x5JLT-RqYCcS2Qg594VyuLO1sd9uaklgKntI8-VZd3xP4bgdGfO_TONwifmg5sgJWDtStSWsiGOg=w124-h92-k-no,Wisata Alam
32,Wisata Alam Syaakirah The View and Resto,4.4,1033,"Jalan, Aek Sabaon Julu, Kec. Marancar, Kabupaten Tapanuli Selatan, Sumatera Utara 22733, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJqS5Pqi8gLDARn3UMX0e33p0,https://lh3.googleusercontent.com/p/AF1QipOHOBeaFmAdm2GYRANs-5LgwxJ1iXOa12AxCF5z=w163-h92-k-no,Wisata Alam
33,Pemandian Alam Sejuk Pas,4.1,1323,"X599+V9P, Dolok Hataran, Kec. Siantar, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJY4yqDziHMTARzPJBAluKZYw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCevfOEParIhBC_iDVV3LTAomWFfithxXCH_5wOM1SroZX6Hs1zqqMQII4Y9P7URWg9sVSd9bHDoFNhxFFl374hlTLYxx8aeRCVkfy-2OzQrt_k99nrGRuDYDxEBH-bHvb-1xN=w122-h92-k-no,Wisata Alam
34,Tanjung Unta,4.4,51,"Jalan St. H.H. Damanik Tambun Raya Pamatang, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21186, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJof6T07u_MTARfb5FBz7_gUs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqH_12G76FoCRQ5XB5Q4cBCCKs2kQAcUDLWXOhQH5c1OLLxQJj-r-TOZBHVeduXVf-mUEcKwrpq33FQrfMZ9wFUCRXGD5tfsWQfDDpZZP4Yzk0rQpDU6OPTj4Q_sYEl3l2P6IiQ=w163-h92-k-no,Wisata Alam
35,Air Terjun Janji,4.6,1233,"Tipang, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJVa3nEBYiLjARh9UgrwmTmDU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqrx1B-WtQ1etPYuTPw7KMkUS9o2wJNr-KF1QMcl6uqgh9u07xVX9RfdwNaH9t7SX0y4f30dpvf-rUCGWhRBnJvxYRQqferYlZYwv6rsgM_obyfikGuD_2e6ioVrANS5Rph5xPJ=w80-h106-k-no,Wisata Alam
36,Air Terjun Sipisopiso,4.5,3017,"Tongging, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ6TGUtnCtMTARf_RpQIsNK40,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noauzJR8yO2gctsincP_sneXzNfxpJreFIMn8JiF9TFOfXnck5nZ3LrcWZY6s8kfWCzRPKZ8BxhYgYeMMjtPLzlxZRDlmwZuFCfWHmjHxjKjZpaNMBW5yms5qkuP_dXOeCOBneccw=w137-h92-k-no,Wisata Alam
37,Puncak Huta Ginjang,4.7,1311,"8X7C+WCJ, Sitanggor, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJOU3ETgAbLjAR_CalkjX9nks,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrt-sSdG_YyiwMaw4gULR8W3N54KqJ-yt3NqSFK7IU2fe-3lSEVxEeTLm4JDZQHqRrLOQhQjgq0ETrOHod_PQBIBJFP6BCdhdu6IcpU7TdTh44bCk1dsPy5NxhBLCbRE5q-INqO=w163-h92-k-no,Wisata Alam
38,WISATA ALAM BEDENG 7,4.1,216,"JF35+H9V, Marjanji Aceh, Kec. Aek Songsongan, Kabupaten Asahan, Sumatera Utara 21274, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ61H9NiASMjARLxsfMF6jgS4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrAZUIcGvic86mK_OUmz2Op5tbva1QYhZtUs_Ag2Nugot1B9ZGEfEd-1v-K6pHMcS1SMC1Q-QjT6QU98xsW38MuOM72Ny66oQjr4uuMWhYna41ClqeFhusbBO6-NDM_S0iwWj2b8g=w138-h92-k-no,Wisata Alam
39,Wisata Alam Sini Suka,4.1,770,"9M68+MGP, Sari Laba Jahe, Kec. Sibiru-biru, Kabupaten Deli Serdang, Sumatera Utara 20358, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJk2IRnPMXMTARv0RstCbP5us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npek31bVE8baPDW8kk1sj3IIsH_SJCtAnNgiFhefC3jzyr5WycirHjoL6C8Df7OdhSv355Jy68vGH2sEMA9C_wj7orcOlCJ2d-h7koFct94wq2Dcqumw9EeAQSJ2RrKBkmjpnt6=w163-h92-k-no,Wisata Alam
